Marca temporal,Tipo de registro,Procedimiento o proceso en el que se le atendió,Servicios referidos (Detalle),"Detalles de la queja, sugerencia o felicitación",Departamento que lo atendió,Instancia,detalles_limpios,tokenizacion,lematizacion,stemming
9/13/2024 13:40:41,Queja,Actividades Culturales y/o Deportivas,Auditorio de ESCOM ,"Me explicaron que al pedir el auditorio de ESCOM, se tenía que pedir grupo a la subdirección académica. Siempre dicen que andan ocupados y cuando dices que no hay problema, que esperas, te miran mal. Ya cuando ven que te esperas te ven con una cara de asco y ya te hacen pasar y te atienden de mala gana. Te hablan altaneramente y te ningunean. Ni siquiera dejan explicar bien la situación porque te están regañando como si fuera tu culpa ir allí. Encima denigran tu espacio en el auditorio como si lo que fueras hacer no vale nada como incitándote a cancelarla.",Subdirección Académica,Departamento de Extensión y Apoyos Educativos,explicaron pedir auditorio escom tenia pedir grupo subdireccion academica andan ocupados dices problema esperas miran mal ven esperas ven cara asco pasar atienden mala gana hablan altaneramente ningunean siquiera dejan explicar situacion regañando culpa alli denigran espacio auditorio vale incitandote cancelarla,"['explicaron', 'pedir', 'auditorio', 'escom', 'tenia', 'pedir', 'grupo', 'subdireccion', 'academica', 'andan', 'ocupados', 'dices', 'problema', 'esperas', 'miran', 'mal', 'ven', 'esperas', 'ven', 'cara', 'asco', 'pasar', 'atienden', 'mala', 'gana', 'hablan', 'altaneramente', 'ningunean', 'siquiera', 'dejan', 'explicar', 'situacion', 'regañando', 'culpa', 'alli', 'denigran', 'espacio', 'auditorio', 'vale', 'incitandote', 'cancelarla']",explicar pedir auditorio escom tenia pedir grupo subdireccion academico andar ocupado diz problema espera miran ver espera ver cara asco pasar atender malo ganar altaneramente ningunear siquiera dejar explicar situacion regañar culpa denigran espacio auditorio valer incitandote cancelar él,explic ped auditori escom teni ped grup subdireccion academ andan ocup dic problem esper mir mal ven esper ven car asco pas atiend mal gan habl altaner ningun siqu dej explic situacion regañ culp alli denigr espaci auditori val incitandot cancel
9/17/2024 14:42:34,Felicitación,Préstamo de Equipo Informático,Permiso para usar equipo de laboratorio ,Ninguno,Unidad de Informática,Unidad de Informática,,[],,
9/18/2024 14:32:36,Sugerencia,Préstamo de Equipo Informático,préstamo de equipo ,Internet no funciona ,Unidad de Informática,Unidad de Informática,internet funciona,"['internet', 'funciona']",internet funcionar,internet funcion
9/19/2024 14:32:47,Felicitación,Préstamo de Equipo Informático,equipo informático,Perfecto ,Unidad de Informática,Unidad de Informática,perfecto,['perfecto'],perfecto,perfect
9/19/2024 15:06:25,Queja,Préstamo de Equipo Informático,Usar compu,No tiene internet ,Dirección,Unidad de Informática,internet,['internet'],internet,internet
9/19/2024 15:58:13,Sugerencia,Prácticas Académicas de Laboratorios y Talleres,Prestamos de la sala libre ,No hay internet en algunas máquinas ,Unidad de Informática,Unidad de Informática,internet maquinas,"['internet', 'maquinas']",internet maquina,internet maquin
9/24/2024 11:53:14,Queja,Gestión del Diseño Curricular de Programas Académicos,Lab,Malas computadoras ,Unidad de Informática,Unidad de Informática,malas computadoras,"['malas', 'computadoras']",mala computadora,mal comput
9/26/2024 12:46:11,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Préstamo de equipo,:),Unidad de Informática,Unidad de Informática,,[],,
9/27/2024 10:14:01,Felicitación,Préstamo de Equipo Informático,Préstamo de comoutadora,Todo buen,Unidad de Informática,Unidad de Informática,,[],,
9/30/2024 9:54:54,Sugerencia,Uso de equipos ,Salón de computo ,Las máquinas están algo lentas ,Unidad de Informática,Unidad de Informática,maquinas lentas,"['maquinas', 'lentas']",maquina lenta,maquin lent
9/30/2024 9:55:38,Sugerencia,Control de Información Documentada,Ninguno,Ninguno,Unidad de Informática,,,[],,
9/30/2024 9:56:06,Felicitación,Préstamo de Equipo Informático,Prestamo de Computadora,El equipo funciono bien,Unidad de Informática,Unidad de Informática,equipo funciono,"['equipo', 'funciono']",equipo funciono,equip funcion
10/7/2024 9:51:31,Felicitación,Préstamo de Equipo Informático,Prestamo de equipo ,Muy amables,Unidad de Informática,Unidad de Informática,amables,['amables'],amable,amabl
10/7/2024 10:06:48,Felicitación,Préstamo de Equipo Informático,Prestamo de equipo ,Muy amables ,Unidad de Informática,Unidad de Informática,amables,['amables'],amable,amabl
10/7/2024 10:07:55,Felicitación,Préstamo de Equipo Informático,Prestamo de PC,Todo bien,Unidad de Informática,Unidad de Informática,,[],,
10/7/2024 16:02:32,Sugerencia,Préstamo de Equipo Informático,Uso de sala de uso libre,Me solicitaron llenar el formulario,Departamento de Servicios Estudiantiles,Unidad de Informática,solicitaron llenar formulario,"['solicitaron', 'llenar', 'formulario']",solicitar llenar formulario,solicit llen formulari
10/8/2024 12:03:30,Felicitación,Gestión de la Evaluación Curricular de Programas Académicos,Computadora ,Bueno,Unidad de Informática,Unidad de Informática,,[],,
10/9/2024 15:11:25,Felicitación,Préstamo de Equipo Informático,Prestamos de equipo de Computación para realizar prácticas escolares ,"Buen equipo de cómputo, buena atención académica ",Unidad de Informática,Unidad de Informática,equipo computo atencion academica,"['equipo', 'computo', 'atencion', 'academica']",equipo computo atencion academico,equip comput atencion academ
10/10/2024 10:45:34,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno,Ninguna ,Unidad de Informática,Innovación Educativa,,[],,
10/22/2024 15:03:23,Felicitación,Tutorías,.,..,Departamento de Innovación Educativa,Depto. de Evaluación y Seguimiento Académico,,[],,
11/11/2024 11:58:57,Felicitación,Préstamo de Equipo Informático,De cómputo ,Muy bien equipo ,Unidad de Informática,Unidad de Informática,equipo,['equipo'],equipo,equip
11/11/2024 11:59:19,Felicitación,Préstamo de Equipo Informático,Préstamo de computadora,Buen servicio ,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
11/13/2024 10:09:55,Felicitación,Gestión para las Prácticas y/o Visitas Escolares,ninguno,Buen trabajo,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,[],,
11/13/2024 10:10:20,Sugerencia,Préstamo de Equipo Informático,Prestación de equipo ,Sugiero poder conectar el Ethernet a nuestro equipo para poder hacer uso del internet y del monitor,Unidad de Informática,Unidad de Informática,sugiero conectar ethernet equipo internet monitor,"['sugiero', 'conectar', 'ethernet', 'equipo', 'internet', 'monitor']",sugiero conectar ethernet equipo internet monitor,sugier conect ethernet equip internet monitor
11/19/2024 10:31:22,Felicitación,Gestión del Diseño de Programas de Estudio,Ninguna ,Ninguna ,Subdirección Académica,Unidad de Informática,,[],,
11/19/2024 14:55:28,Felicitación,Gestión de la Evaluación Curricular de Programas Académicos,Ninguna ,Ninguna ,Unidad de Informática,Unidad de Informática,,[],,
11/20/2024 13:33:38,Felicitación,Concurso de Exámenes de Oposición de Cátedra,.,.,Departamento de Ciencias e Ingeniería de la Computación,Subdirección Académica,,[],,
11/20/2024 14:24:59,Queja,Préstamo de Equipo Informático,Préstamo de equipo de laboratorio libre ,"Las máquinas no se pueden usar para hacer tareas en horas libres, no dejan programas ni tienen ningún programa o IDE para poder hacer prácticas ",Unidad de Informática,Unidad de Informática,maquinas tareas horas libres dejan programas ningun programa ide practicas,"['maquinas', 'tareas', 'horas', 'libres', 'dejan', 'programas', 'ningun', 'programa', 'ide', 'practicas']",maquina tarea horas libre dejar programa ningun programa ide practica,maquin tar hor libr dej program ningun program ide practic
11/25/2024 17:53:12,Felicitación,Laboratorio,Préstamo de máquina.,Bueno,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,,[],,
12/18/2024 12:10:13,Felicitación,Tutorías,Udi,No ,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,[],,
12/18/2024 12:10:29,Felicitación,Auditoría Interna,Computadora ,Muy buen servicio ,Subdirección de Servicios Educativos e Integración Social,Coordinación de Enlace y Gestión Técnica,servicio,['servicio'],servicio,servici
12/18/2024 15:35:21,Felicitación,Compu,Compu,Todo bien ,Unidad de Informática,Unidad de Informática,,[],,
1/8/2025 14:04:54,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Bie n,Ninguna,Unidad de Informática,Innovación Educativa,,[],,
1/29/2025 15:20:37,Queja,Reinscripción,Solicitud de información para Reinscripcion,"Acudí a ventanilla de servicios escolares a resolver una duda acerca de mi proceso de reinscripción. Sin embargo, la persona que me atendió se encontraba revisando su celular, mientras me atendía de malas seguía utilizando su celular.
No considero apropiada esta conducta, pues ni siquiera parecía interesarle lo que le comentaba. ",Subdirección de Servicios Educativos e Integración Social,Gestión escolar,acudi ventanilla servicios escolares resolver duda acerca proceso reinscripcion persona atendio encontraba revisando celular atendia malas seguia utilizando celular considero apropiada conducta siquiera parecia interesarle comentaba,"['acudi', 'ventanilla', 'servicios', 'escolares', 'resolver', 'duda', 'acerca', 'proceso', 'reinscripcion', 'persona', 'atendio', 'encontraba', 'revisando', 'celular', 'atendia', 'malas', 'seguia', 'utilizando', 'celular', 'considero', 'apropiada', 'conducta', 'siquiera', 'parecia', 'interesarle', 'comentaba']",acudi ventanilla servicio escolar resolver duda acerca proceso reinscripcion persona atendio encontrar revisar celular atendia mala seguia utilizar celular considerar apropiar conductar siquiera parecia interesar él comentar,acudi ventanill servici escolar resolv dud acerc proces reinscripcion person atendi encontr revis celul atendi mal segui utiliz celul consider apropi conduct siqu pareci interes coment
1/29/2025 15:43:01,Sugerencia,Préstamo de Equipo Informático,me prestaron una máquina ,muy buena la máquina pero un poco lentos los teclados ya que se les atoraban las teclas ,Unidad de Informática,Unidad de Informática,maquina lentos teclados atoraban teclas,"['maquina', 'lentos', 'teclados', 'atoraban', 'teclas']",maquina lento teclados atorar tecla,maquin lent tecl ator tecl
1/29/2025 15:43:26,Felicitación,Préstamo de Equipo Informático,mejorar velocidad de internet ,"todo bien, mejorar velocidad de internet ",Unidad de Informática,Unidad de Informática,mejorar velocidad internet,"['mejorar', 'velocidad', 'internet']",mejorar velocidad internet,mejor veloc internet
2/12/2025 9:48:11,Felicitación,Control de Información Documentada,Prestamo,Ninguna ,Unidad de Informática,Coordinación de Enlace y Gestión Técnica,,[],,
2/12/2025 13:19:44,Felicitación,Uso de computadora ,Uso de computadora,Gracias por prestar el servicio,Unidad de Informática,Unidad de Informática,gracias prestar servicio,"['gracias', 'prestar', 'servicio']",gracias prestar servicio,graci prest servici
2/13/2025 10:11:36,Queja,Una duda sobre una situación ,Una duda ,Simplemente necesitaba una respuesta que no duraría ni 5 minutos y obviamente si hay un horario pero no costaba nada y si se hace un trámite obviamente es en horario,Departamento de Gestión Escolar,Gestión escolar,simplemente necesitaba respuesta duraria 5 minutos obviamente horario costaba tramite obviamente horario,"['simplemente', 'necesitaba', 'respuesta', 'duraria', '5', 'minutos', 'obviamente', 'horario', 'costaba', 'tramite', 'obviamente', 'horario']",simplemente necesitar respuesta durario 5 minuto obviamente horario costar tramite obviamente horario,simplement necesit respuest durari 5 minut obvi horari cost tramit obvi horari
2/17/2025 9:58:27,Felicitación,"Gestión, Control y Ejercicio del Presupuesto Federal",Compus,Ninguna ,Unidad de Informática,Departamento de Recursos Financieros,,[],,
2/19/2025 11:58:13,Felicitación,Tiempo Libre,Uso de la máquina de computación ,Todo bien por el momento ,Departamento de Gestión Escolar,Unidad de Informática,,[],,
2/19/2025 13:27:00,Felicitación,Uso de PC,Prestacion de PC,Atención atenta,Unidad de Informática,Unidad de Informática,atencion atenta,"['atencion', 'atenta']",atencion atentar,atencion atent
2/19/2025 13:36:18,Felicitación,Servicios Bibliotecarios,Prestación de servicios informaticos,"Buen servicio, 10/10",Unidad de Informática,Depto. de servicios Estudiantiles,servicio 1010,"['servicio', '1010']",servicio 1010,servici 1010
2/19/2025 13:40:25,Sugerencia,Tutorías,Préstamo de equipo,Buen trato ,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,trato,['trato'],trato,trat
2/20/2025 12:17:06,Sugerencia,Préstamo de Equipo Informático,Equipo informático ,El internet intermitente no me permitió hacer mi trabajo,Unidad de Informática,Unidad de Informática,internet intermitente permitio,"['internet', 'intermitente', 'permitio']",internet intermitente permitio,internet intermitent permiti
2/21/2025 9:11:25,Felicitación,Trámite de Documentos de Gestión Escolar,Laboratorio tiempo libre,Felicitación por la gestión de los equipos. El semestre pasado se encontraban descuidado y con máximo privilegios. Hoy ya se encuentran en mejor estado y cosas como la deshabilitación de CMD se felicita.,Unidad de Informática,Unidad de Informática,felicitacion gestion equipos semestre encontraban descuidado maximo privilegios encuentran deshabilitacion cmd felicita,"['felicitacion', 'gestion', 'equipos', 'semestre', 'encontraban', 'descuidado', 'maximo', 'privilegios', 'encuentran', 'deshabilitacion', 'cmd', 'felicita']",felicitacion gestion equipo semestre encontrar descuidar maximo privilegio encontrar deshabilitacion cmd felicita,felicit gestion equip semestr encontr descuid maxim privilegi encuentr deshabilit cmd felicit
2/21/2025 10:53:36,Sugerencia,Préstamo de Equipo Informático,Laboratorio libre,Se necesita mejorar el internet ,Unidad de Tecnología Educativa y Campus Virtual,Unidad de Informática,necesita mejorar internet,"['necesita', 'mejorar', 'internet']",necesitar mejorar internet,necesit mejor internet
2/26/2025 10:15:07,Sugerencia,Préstamo de Equipo Informático,préstamo de cómputo ,muy bien servicio ,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
2/26/2025 12:11:48,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de computo,Felicitacion,Unidad de Informática,Unidad de Informática,felicitacion,['felicitacion'],felicitacion,felicit
2/26/2025 12:18:47,Sugerencia,Préstamo de Equipo Informático,Me prestaron una computadora ,Todo bien ,Unidad de Informática,Unidad de Informática,,[],,
2/27/2025 12:02:00,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de cómputo ,Felicidades,Unidad de Informática,Unidad de Informática,felicidades,['felicidades'],felicidad,felic
2/27/2025 12:02:11,Felicitación,Préstamo de Equipo Informático,PRÉSTAMO DE COMPUTADORA,BIEN CUIDADAS:),Unidad de Informática,Unidad de Informática,cuidadas,['cuidadas'],cuidado,cuid
2/27/2025 12:02:11,Felicitación,Préstamo de Equipo Informático,Prestamo de equipo en aula de uso libre,Buen servicio ,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
2/27/2025 13:27:28,Felicitación,Servicios Bibliotecarios,Prestacion de PC,Buen servicio,Departamento de Ciencias e Ingeniería de la Computación,Depto. de Servicios Estudiantiles,servicio,['servicio'],servicio,servici
3/3/2025 13:23:45,Felicitación,Préstamo de Equipo Informático,RENTA DE MÁQUINA,Buenas compus,Departamento de Servicios Estudiantiles,Unidad de Informática,compus,['compus'],compus,compus
3/3/2025 15:59:47,Felicitación,Utilización de equipo,Utilizar una máquina para hacer tarea,Buen servicio,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
3/4/2025 11:39:41,Felicitación,Servicio Social,Ninguno ,Ninguno ,Unidad de Informática,Unidad de Informática,,[],,
3/4/2025 11:40:47,Felicitación,Préstamo de Equipo Informático,Uso de una equipo de cómputo para poder modificar un documento ,"Ninguna queja, buena atención y el equipo en un inicio mostraba complicaciones con Word pero después funcionó correctamente ",Unidad de Informática,Unidad de Informática,queja atencion equipo inicio mostraba complicaciones word despues funciono correctamente,"['queja', 'atencion', 'equipo', 'inicio', 'mostraba', 'complicaciones', 'word', 'despues', 'funciono', 'correctamente']",queja atencion equipo inicio mostrar complicación word funciono correctamente,quej atencion equip inici mostr complic word despu funcion correct
3/4/2025 14:10:49,Felicitación,Préstamo de Equipo Informático,Uso de equipo de cómputo de uso libre,Facilidad de uso,Unidad de Informática,Unidad de Informática,facilidad,['facilidad'],facilidad,facil
3/4/2025 14:27:59,Felicitación,Salón de uso libre,Maquina prestada,Buen función,Unidad de Informática,Unidad de Informática,funcion,['funcion'],funcion,funcion
3/4/2025 18:10:59,Felicitación,Préstamo de Equipo Informático,Préstamo computadora,Todo bien,Unidad de Informática,Unidad de Informática,,[],,
3/4/2025 18:19:34,Felicitación,Tarea,Préstamo de equipo de cómputo ,Ninguno,Unidad de Informática,Unidad de Informática,,[],,
3/5/2025 11:48:14,Sugerencia,Préstamo de Equipo Informático,Prestamo de maquina,El mousse de la máquina 2 presenta problemas en el click izquierdo,Unidad de Informática,Unidad de Informática,mousse maquina 2 presenta problemas click izquierdo,"['mousse', 'maquina', '2', 'presenta', 'problemas', 'click', 'izquierdo']",mousse maquina 2 presentar problema click izquierdo,mouss maquin 2 present problem click izquierd
3/5/2025 11:58:06,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Perfecto ,Ninguna ,Dirección,Unidad de Informática,,[],,
3/5/2025 13:29:11,Sugerencia,Tutorías,Prestamo,Todo bien,Unidad de Informática,Depto. de Evaluación y Seguimiento Académico,,[],,
3/5/2025 13:38:20,Felicitación,Actualización y Capacitación Docentes,No se,Nada ,Unidad Politécnica de Integración Social,Innovación Educativa,,[],,
3/6/2025 8:22:44,Felicitación,Uso de computo ,La computadora ,Muy amable ,Unidad de Informática,Unidad de Informática,amable,['amable'],amable,amabl
3/6/2025 12:04:51,Sugerencia,Gestión del Diseño de Programas de Estudio,Nada ,Nada ,Subdirección de Servicios Educativos e Integración Social,,,[],,
3/6/2025 14:57:22,Sugerencia,Concurso de Exámenes de Oposición de Cátedra,Na,Na,Unidad de Informática,,na,['na'],na,na
3/7/2025 16:16:33,Queja,No se me ha atendido. ,Biblioteca ,"Hoy, 7 de marzo, pusieron un aviso de que la biblioteca estaría cerrada de 2pm a 4pm. Ya son las 4:15 y aún no han abierto. Quiero revisar un asunto de urgencia del SAES. ",,Depto. de Servicios Estudiantiles,7 marzo pusieron aviso biblioteca estaria cerrada 2pm 4pm 415 aun abierto quiero revisar asunto urgencia saes,"['7', 'marzo', 'pusieron', 'aviso', 'biblioteca', 'estaria', 'cerrada', '2pm', '4pm', '415', 'aun', 'abierto', 'quiero', 'revisar', 'asunto', 'urgencia', 'saes']",7 marzo poner aviso biblioteca estario cerrada 2 pm 4 pm 415 abierto querer revisar asunto urgencia saes,7 marz pus avis bibliotec estari cerr 2pm 4pm 415 aun abiert quier revis asunt urgenci saes
3/10/2025 11:49:18,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Uso de computadora,Ninguna ,Unidad de Informática,Unidad de Informática,,[],,
3/10/2025 11:55:31,Sugerencia,Préstamo de Equipo Informático,Uso de computadora de laboratorio ,La máquina dos le falla el click izquierdo al mouse lo cual complica un poco su uso,Unidad de Informática,Unidad de Informática,maquina falla click izquierdo mouse complica,"['maquina', 'falla', 'click', 'izquierdo', 'mouse', 'complica']",maquina falla click izquierdo mouse complicar,maquin fall click izquierd mous complic
3/10/2025 12:14:46,Felicitación,Préstamo de Equipo Informático,Préstamo de computo,Excelente ,Departamento de Recursos Materiales y Servicios,Unidad de Informática,excelente,['excelente'],excelente,excelent
3/11/2025 9:16:32,Queja,Préstamo de Equipo Informático,Préstamo máquina 32,"No tiene internet, posiblemente el cable esté trozado ya que cambie el de la 31 a la 32 y agarro el internet ",Departamento de Recursos Materiales y Servicios,Unidad de Informática,internet posiblemente cable trozado cambie 31 32 agarro internet,"['internet', 'posiblemente', 'cable', 'trozado', 'cambie', '31', '32', 'agarro', 'internet']",internet posiblemente cable trozar cambiar 31 32 agarrar internet,internet posibl cabl troz cambi 31 32 agarr internet
3/11/2025 9:16:50,Sugerencia,Préstamo de Equipo Informático,Prestamo maquina 31,Estaría bien poner Linux y Windows en todas las compus,Departamento de Recursos Materiales y Servicios,Unidad de Informática,estaria linux windows compus,"['estaria', 'linux', 'windows', 'compus']",estario linux windows compus,estari linux windows compus
3/11/2025 15:57:55,Sugerencia,Préstamo de Equipo Informático,Prestamo de equipo de computo,"El servicio se llevo correctamente
Como unico problema mencionaria que las aplicaciones de adobe e internet explorer se quedaron congeladas y fui capaz de cerrarlas Al estar bloqueado El administrador de tareas",Unidad de Tecnología Educativa y Campus Virtual,Unidad de Informática,servicio llevo correctamente unico problema mencionaria aplicaciones adobe internet explorer quedaron congeladas capaz cerrarlas bloqueado administrador tareas,"['servicio', 'llevo', 'correctamente', 'unico', 'problema', 'mencionaria', 'aplicaciones', 'adobe', 'internet', 'explorer', 'quedaron', 'congeladas', 'capaz', 'cerrarlas', 'bloqueado', 'administrador', 'tareas']",servicio llevar correctamente unico problema mencionaria aplicación adobe internet explorer quedar congelada capaz cerrarla bloquear administrador tarea,servici llev correct unic problem mencionari aplic adob internet explor qued congel capaz cerr bloqu administr tar
3/12/2025 12:01:45,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno ,Ninguna ,Dirección,Innovación Educativa,,[],,
3/12/2025 13:32:20,Felicitación,Inscripción,Uso de equipo ,Felicitación por el uso del equipo ,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,felicitacion equipo,"['felicitacion', 'equipo']",felicitacion equipo,felicit equip
3/13/2025 11:46:52,Felicitación,Préstamo de Equipo Informático,Computadora ,Bien,Unidad de Informática,Unidad de Informática,,[],,
3/14/2025 10:14:11,Felicitación,Préstamo de Equipo Informático,Prestamo,Todo bn,Unidad de Informática,Unidad de Informática,bn,['bn'],bn,bn
3/14/2025 11:42:12,Felicitación,Préstamo de Equipo Informático,Préstamo tiempo libre,Buenos equipos de cómputo ,Unidad de Informática,Unidad de Informática,equipos computo,"['equipos', 'computo']",equipo computo,equip comput
3/14/2025 13:56:28,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de computo,Todo muy bien,Unidad de Informática,Unidad de Informática,,[],,
3/14/2025 15:02:11,Felicitación,Uso de laboratorios ,Presto de laboratorio ,"Muy bien equipo, internet y cuenta con los programas que necesito",Unidad de Informática,Unidad de Informática,equipo internet programas necesito,"['equipo', 'internet', 'programas', 'necesito']",equipo internet programa necesitar,equip internet program necesit
3/18/2025 11:48:51,Felicitación,Préstamo de Equipo Informático,Prestamo,Todo bn,Unidad de Informática,Unidad de Informática,bn,['bn'],bn,bn
3/18/2025 11:53:15,Sugerencia,Préstamo de Equipo Informático,Computadora,No tienen Ubuntu.,Unidad de Informática,Unidad de Informática,ubuntu,['ubuntu'],ubuntu,ubuntu
3/19/2025 11:43:02,Felicitación,Préstamo de Equipo Informático,Una computadora ,Muy buen servicio ,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
3/19/2025 11:43:17,Felicitación,Préstamo de Equipo Informático,Una computadora ,Felicitación por mantener los equipos en buen estado,Unidad de Informática,Unidad de Informática,felicitacion mantener equipos,"['felicitacion', 'mantener', 'equipos']",felicitacion mantener equipo,felicit manten equip
3/19/2025 11:58:28,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno,Ninguna ,Dirección,Unidad de Informática,,[],,
3/20/2025 13:31:03,Felicitación,Préstamo de Equipo Informático,Computadora ,Felicitaciones ,Unidad de Informática,Unidad de Informática,felicitaciones,['felicitaciones'],felicitación,felicit
3/20/2025 13:31:40,Felicitación,Gestión para las Prácticas y/o Visitas Escolares,.,.,,Depto. de Evaluación y Seguimiento Académico,,[],,
3/20/2025 15:21:48,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Prestacion de equipo,Ninguna,Dirección,Unidad de Informática,,[],,
3/21/2025 14:54:13,Felicitación,Préstamo de Equipo Informático,Compus,Felicitacion,Departamento de Ciencias e Ingeniería de la Computación,Unidad de Informática,felicitacion,['felicitacion'],felicitacion,felicit
3/27/2025 9:15:38,Felicitación,Préstamo de Equipo Informático,Ninguno ,Ninguno ,Unidad de Informática,Unidad de Informática,,[],,
3/28/2025 14:47:26,Felicitación,Uso lab,Prestamo de laboratorio ,Préstamo lab,Unidad de Informática,Unidad de Informática,prestamo lab,"['prestamo', 'lab']",prestamo lab,prestam lab
3/28/2025 14:48:20,Sugerencia,Laboratorio ,Laboratorio ,Ninguna,Unidad de Informática,Unidad de Informática,,[],,
4/2/2025 12:02:52,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ys,Jw,Dirección,,jw,['jw'],jw,jw
4/4/2025 11:59:07,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Yeye,6363,Subdirección de Servicios Educativos e Integración Social,Innovación educativa,6363,['6363'],6363,6363
4/4/2025 12:11:59,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Laboratoire heoa libre,Todo bien,Dirección,Innovación educativa,,[],,
4/7/2025 13:41:27,Felicitación,Préstamo de Equipo Informático,Computadoras,Ninguna ,Unidad de Informática,Unidad de informática,,[],,
4/8/2025 12:32:54,Sugerencia,Uso de equipo de cómputo ,Uso de equipo,"Me gustó, las computadoras están bien, los periféricos pero el Mouse a veces falla de la ruedita ",Unidad de Informática,Unidad de Informática,gusto computadoras perifericos mouse falla ruedita,"['gusto', 'computadoras', 'perifericos', 'mouse', 'falla', 'ruedita']",gusto computadora periferico mouse falla ruedita,gust comput perifer mous fall ruedit
4/9/2025 8:22:04,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ud,Jdjd,Dirección,Innovación educativa,jdjd,['jdjd'],jdjd,jdjd
4/11/2025 15:01:14,Felicitación,Lab,Prestamo,Felicidades ,Unidad de Informática,Unidad de Informática,felicidades,['felicidades'],felicidad,felic
4/14/2025 12:36:54,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Todo bien,Gracias,Dirección,Innovación educativa,gracias,['gracias'],gracias,graci
4/14/2025 13:12:19,Felicitación,Préstamo de Equipo Informático,Uso libre de PC,El servicio estuvo bien,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
4/15/2025 14:55:30,Felicitación,Préstamo de Equipo Informático,Préstamo de equipo de computo (lab de uso libre),Ha mejorado el rendimiento de más computadoras,Unidad de Informática,Unidad de Informática,mejorado rendimiento mas computadoras,"['mejorado', 'rendimiento', 'mas', 'computadoras']",mejorado rendimiento computadora,mejor rendimient mas comput
4/15/2025 15:09:01,Felicitación,Gestión de la Movilidad Académica,Comparación de materias del mapa curricular con materias en la institución destino,"El trámite fue sencillo, me atendieron con una buena actitud y muy comprensivos y directos, totalmente satisfecho por la ayuda otorgada ya que me han ayudado a otorgar soluciones de acuerdo a mi situación.",Departamento de Innovación Educativa,Unidad Politécnica de Integración Social,tramite sencillo atendieron actitud comprensivos directos totalmente satisfecho ayuda otorgada ayudado otorgar soluciones acuerdo situacion,"['tramite', 'sencillo', 'atendieron', 'actitud', 'comprensivos', 'directos', 'totalmente', 'satisfecho', 'ayuda', 'otorgada', 'ayudado', 'otorgar', 'soluciones', 'acuerdo', 'situacion']",tramite sencillo atender actitud comprensivo directo totalmente satisfecho ayuda otorgado ayudar otorgar solución situacion,tramit sencill atend actitud comprens direct total satisfech ayud otorg ayud otorg solucion acuerd situacion
4/16/2025 9:06:12,Felicitación,Préstamo de Equipo Informático,Préstamo de una computadora ,Todo bien,Unidad de Informática,Unidad de Informática,,[],,
4/30/2025 11:52:30,Felicitación,Gestión del Diseño Curricular de Programas Académicos,Ninguno ,Ninguno ,Dirección,Innovación educativa,,[],,
4/30/2025 13:55:07,Sugerencia,Préstamo de Equipo Informático,Computadora ,Todo bien,Unidad de Informática,Unidad de Informática,,[],,
4/30/2025 14:48:22,Felicitación,Préstamo de Equipo Informático,Acceso al laboratorio de uso libre,Muy buen servicio,Unidad de Informática,Unidad de Informática,servicio,['servicio'],servicio,servici
4/30/2025 14:56:33,Felicitación,Préstamo de Equipo Informático,Bien,Ninguna,Unidad de Informática,Unidad de Informática,,[],,
5/8/2025 10:12:11,Queja,Actividades Culturales y/o Deportivas,Horarios e información sobre actividades deportivas ,"La mayoría de los horarios y días sobre las actividades deportivas están mal 
",,Departamento de Servicios Estudiantiles,mayoria horarios dias actividades deportivas mal,"['mayoria', 'horarios', 'dias', 'actividades', 'deportivas', 'mal']",mayoria horario actividad deportiva,mayori horari dias activ deport mal
